cost_type,amount,time,stage_name
processing,153897.0175,8468.6435,Round_Grinding
wip_holding,1319.1173,8468.6435,Round_Grinding
processing,65535.9772,8562.2663,Final_Inspection
wip_holding,561.7369,8562.2663,Final_Inspection
processing,42000.0,8622.2663,Packing
wip_holding,360.0,8622.2663,Packing
processing,229922.7964,8969.0677,Turning_Milling
wip_holding,1970.7668,8969.0677,Turning_Milling
processing,83130.6041,9087.8257,QC_Turning
wip_holding,712.548,9087.8257,QC_Turning
defect,90000.0,9087.8257,QC_Turning
processing,16076.0663,9110.7915,Laser_Marking
wip_holding,137.7949,9110.7915,Laser_Marking
processing,161488.28,9341.489,Lapping
wip_holding,1384.1853,9341.489,Lapping
processing,135557.6349,9535.1428,Round_Grinding
wip_holding,1161.9226,9535.1428,Round_Grinding
processing,30704.6539,9579.0066,Final_Inspection
wip_holding,263.1827,9579.0066,Final_Inspection
processing,42000.0,9639.0066,Packing
wip_holding,360.0,9639.0066,Packing
processing,146578.4262,10184.8662,Turning_Milling
wip_holding,1256.3865,10184.8662,Turning_Milling
processing,10428.2848,10199.7638,QC_Turning
wip_holding,89.3853,10199.7638,QC_Turning
processing,24319.3881,10234.5058,Laser_Marking
wip_holding,208.4519,10234.5058,Laser_Marking
processing,66437.7618,10329.4168,Lapping
wip_holding,569.4665,10329.4168,Lapping
processing,48759.2844,10399.073,Round_Grinding
wip_holding,417.9367,10399.073,Round_Grinding
processing,22679.7994,10431.4727,Final_Inspection
wip_holding,194.3983,10431.4727,Final_Inspection
processing,42000.0,10491.4727,Packing
wip_holding,360.0,10491.4727,Packing
processing,122573.8087,10795.6831,Turning_Milling
wip_holding,1050.6326,10795.6831,Turning_Milling
processing,23615.2107,10829.4191,QC_Turning
wip_holding,202.4161,10829.4191,QC_Turning
processing,65789.2857,10923.4038,Laser_Marking
wip_holding,563.9082,10923.4038,Laser_Marking
processing,29476.5962,10965.5132,Lapping
wip_holding,252.6565,10965.5132,Lapping
processing,129990.0048,11151.2132,Round_Grinding
wip_holding,1114.2,11151.2132,Round_Grinding
processing,91105.5405,11281.364,Final_Inspection
wip_holding,780.9046,11281.364,Final_Inspection
processing,42000.0,11341.364,Packing
wip_holding,360.0,11341.364,Packing
processing,85466.8384,11754.719,Turning_Milling
wip_holding,732.5729,11754.719,Turning_Milling
processing,54557.2483,11832.6579,QC_Turning
wip_holding,467.6336,11832.6579,QC_Turning
processing,88773.5389,11959.4773,Laser_Marking
wip_holding,760.916,11959.4773,Laser_Marking
processing,35588.1534,12010.3175,Lapping
wip_holding,305.0413,12010.3175,Lapping
processing,218697.5566,12014.0793,Turning_Milling
wip_holding,1874.5505,12014.0793,Turning_Milling
processing,31051.1602,12058.4381,QC_Turning
wip_holding,266.1528,12058.4381,QC_Turning
processing,49578.2388,12059.2182,Turning_Milling
wip_holding,424.9563,12059.2182,Turning_Milling
processing,8057.7345,12069.9491,Laser_Marking
wip_holding,69.0663,12069.9491,Laser_Marking
processing,5492.2579,12077.7952,Lapping
wip_holding,47.0765,12077.7952,Lapping
processing,42453.1923,12119.8656,QC_Turning
wip_holding,363.8845,12119.8656,QC_Turning
processing,27896.9159,12159.7184,Laser_Marking
wip_holding,239.1164,12159.7184,Laser_Marking
processing,65752.3398,12171.7271,Round_Grinding
wip_holding,563.5915,12171.7271,Round_Grinding
processing,10094.2319,12186.1474,Final_Inspection
wip_holding,86.522,12186.1474,Final_Inspection
processing,29223.0181,12201.4655,Lapping
wip_holding,250.483,12201.4655,Lapping
processing,42000.0,12246.1474,Packing
wip_holding,360.0,12246.1474,Packing
processing,111107.9111,12360.1911,Round_Grinding
