product_id,stage_name,stage_start,stage_end,wait_time_min,process_time_min,defect_occurred
49,Lapping,25881.0244,25955.9732,0.0,74.9488,False
49,Round_Grinding,25955.9732,26013.4713,0.0,57.4982,False
49,Final_Inspection,26013.4713,26050.5201,0.0,37.0488,False
49,Packing,26050.5201,26110.5201,0.0,60.0,False
51,Turning_Milling,25953.405,26168.0737,0.0,214.6686,False
51,QC_Turning,26168.0737,26209.6031,0.0,41.5294,False
51,Laser_Marking,26209.6031,26230.6219,0.0,21.0188,False
51,Lapping,26230.6219,26317.7372,0.0,87.1153,False
50,Turning_Milling,25910.9533,26549.7983,0.0,638.8451,False
50,QC_Turning,26549.7983,26590.0243,0.0,40.2259,False
50,Laser_Marking,26590.0243,26665.4362,0.0,75.412,False
50,Lapping,26665.4362,26813.1426,0.0,147.7064,False
50,Round_Grinding,26813.1426,27014.8655,0.0,201.7229,False
50,Final_Inspection,27014.8655,27090.9691,0.0,76.1036,False
51,Round_Grinding,26317.7372,27092.3163,0.0,774.5791,False
52,Turning_Milling,26654.9191,27099.7374,0.0,444.8183,False
53,Turning_Milling,26765.5684,27127.4868,0.0,361.9184,False
50,Packing,27090.9691,27150.9691,0.0,60.0,False
51,Final_Inspection,27092.3163,27178.4973,0.0,86.181,False
51,Packing,27178.4973,27238.4973,0.0,60.0,False
52,QC_Turning,27099.7374,27345.0251,0.0,245.2877,False
53,QC_Turning,27345.0251,27383.4405,217.5383,38.4155,False
54,Turning_Milling,27237.298,27413.5218,0.0,176.2238,False
52,Laser_Marking,27345.0251,27437.9756,0.0,92.9505,False
52,Lapping,27437.9756,27472.0684,0.0,34.0928,False
54,QC_Turning,27413.5218,27477.3411,0.0,63.8194,False
53,Laser_Marking,27437.9756,27478.4578,54.535,40.4822,False
53,Lapping,27478.4578,27502.6665,0.0,24.2087,False
54,Laser_Marking,27478.4578,27597.2459,1.1167,118.7881,False
53,Round_Grinding,27502.6665,27606.0903,0.0,103.4238,False
52,Round_Grinding,27472.0684,27614.2209,0.0,142.1525,False
54,Lapping,27597.2459,27717.0334,0.0,119.7875,False
53,Final_Inspection,27606.0903,27803.593,0.0,197.5027,False
53,Packing,27803.593,27863.593,0.0,60.0,False
52,Final_Inspection,27803.593,27922.5795,189.3721,118.9865,False
52,Packing,27922.5795,27982.5795,0.0,60.0,False
54,Round_Grinding,27717.0334,28140.2633,0.0,423.2299,False
54,Final_Inspection,28140.2633,28223.252,0.0,82.9888,False
54,Packing,28223.252,28283.252,0.0,60.0,False
55,Turning_Milling,27695.9208,28409.342,0.0,713.4212,False
55,QC_Turning,28409.342,28432.0523,0.0,22.7103,False
55,Laser_Marking,28432.0523,28470.8786,0.0,38.8263,False
56,Turning_Milling,28586.0975,28760.0754,0.0,173.9779,False
56,QC_Turning,28760.0754,28816.5312,0.0,56.4558,False
56,Laser_Marking,28816.5312,28857.0805,0.0,40.5493,False
56,Lapping,28857.0805,29030.1207,0.0,173.0402,False
55,Lapping,28470.8786,29051.3349,0.0,580.4563,False
57,Turning_Milling,28912.7916,29137.4983,0.0,224.7066,False
58,Turning_Milling,29173.0552,29257.0604,0.0,84.0052,False
55,Round_Grinding,29051.3349,29308.5608,0.0,257.2259,False
59,Turning_Milling,29234.4826,29350.5292,0.0,116.0465,False
55,Final_Inspection,29308.5608,29351.8977,0.0,43.3369,False
55,Packing,29351.8977,29411.8977,0.0,60.0,False
57,QC_Turning,29137.4983,29465.8158,0.0,328.3175,False
56,Round_Grinding,29030.1207,29482.6612,0.0,452.5404,False
58,QC_Turning,29465.8158,29482.7845,208.7554,16.9687,False
59,QC_Turning,29482.7845,29492.8653,132.2553,10.0808,False
57,Laser_Marking,29465.8158,29580.6978,0.0,114.882,False
57,Lapping,29580.6978,29589.5419,0.0,8.8441,False
58,Laser_Marking,29580.6978,29591.8431,97.9134,11.1453,False
59,Laser_Marking,29591.8431,29624.2598,98.9778,32.4167,False
58,Lapping,29591.8431,29634.4925,0.0,42.6494,False
56,Final_Inspection,29482.6612,29703.6239,0.0,220.9627,False
59,Lapping,29624.2598,29710.4457,0.0,86.1859,False
58,Round_Grinding,29634.4925,29751.0156,0.0,116.5231,False
56,Packing,29703.6239,29763.6239,0.0,60.0,False
58,Final_Inspection,29751.0156,29776.2836,0.0,25.268,False
59,Round_Grinding,29710.4457,29808.3235,0.0,97.8777,False
58,Packing,29776.2836,29836.2836,0.0,60.0,False
57,Round_Grinding,29589.5419,29891.4043,0.0,301.8624,False
59,Final_Inspection,29808.3235,29903.9469,0.0,95.6235,False
59,Packing,29903.9469,29963.9469,0.0,60.0,False
57,Final_Inspection,29903.9469,30056.5385,12.5426,152.5916,False
57,Packing,30056.5385,30116.5385,0.0,60.0,False
60,Turning_Milling,30572.1408,30767.4051,0.0,195.2643,False
60,QC_Turning,30767.4051,30877.989,0.0,110.5839,False
60,Laser_Marking,30877.989,30918.2328,0.0,40.2439,False
